isco88,isco88_name,digits_level
1,"Legislators, senior officials and managers",1
11,Legislators and senior officials,2
111,Legislators,3
1110,Legislators,4
112,Senior government officials,3
1120,Senior government officials,4
113,Traditional chiefs and heads of villages,3
1130,Traditional chiefs and heads of villages,4
114,Senior officials of special-interest organisations,3
1141,Senior officials of political-party organisations,4
1142,"Senior officials of employers', workers' and other economic-interest organisations",4
1143,Senior officials of humanitarian and other special-interest organisations,4
12,"Corporate managers (this group is intended to include persons who - as directors, chief executives or department managers - manage enterprises or organisations, or departments, requiring a total of three or more managers.)",2
121,Directors and chief executives,3
1210,Directors and chief executives,4
122,Production and operations department managers,3
1221,"Production and operations department managers in agriculture, hunting, forestry and fishing",4
1222,Production and operations department managers in manufacturing,4
1223,Production and operations department managers in construction,4
1224,Production and operations department managers in wholesale and retail trade,4
1225,Production and operations department managers in restaurants and hotels,4
1226,"Production and operations department managers in transport, storage and communications",4
1227,Production and operations department managers in business services,4
1228,"Production and operations department managers in personal care, cleaning and related services",4
1229,Production and operations department managers not elsewhere classified,4
123,Other department managers,3
1231,Finance and administration department managers,4
1232,Personnel and industrial relations department managers,4
1233,Sales and marketing department managers,4
1234,Advertising and public relations department managers,4
1235,Supply and distribution department managers,4
1236,Computing services department managers,4
1237,Research and development department managers,4
1239,Other department managers not elsewhere classified,4
13,"General managers (this group is intended to include persons who manage enterprises, or in some cases organisations, on their own behalf, or on behalf of the proprietor, with some non-managerial help and the assistance of no more than one other manager who should also be classified in this sub- major group as, in most cases, the tasks will be broader than those of a specialised manager in a larger enterprise or organisation. non-managerial staff should be classified according to their specific tasks.",2
131,General managers,3
1311,"General managers in agriculture, hunting, forestry/ and fishing",4
1312,General managers in manufacturing,4
1313,General managers in construction,4
1314,General managers in wholesale and retail trade,4
1315,General managers of restaurants and hotels,4
1316,"General managers in transport, storage and communications",4
1317,General managers of business services,4
1318,"General managers in personal care, cleaning and related services",4
1319,General managers not elsewhere classified,4
2,Professionals,1
21,"Physical, mathematical and engineering science professionals",2
211,"Physicists, chemists and related professionals",3
2111,Physicists and astronomers,4
2112,Meteorologists,4
2113,Chemists,4
2114,Geologists and geophysicists,4
212,"Mathematicians, statisticians and related professionals",3
2121,Mathematicians and related professionals,4
2122,Statisticians,4
213,Computing professionals,3
2131,Computer systems designers and analysts,4
2132,Computer programmers,4
2139,Computing professionals not elsewhere classified,4
214,"Architects, engineers and related professionals",3
2141,"Architects, town and traffic planners",4
2142,Civil engineers,4
2143,Electrical engineers,4
2144,Electronics and telecommunications engineers,4
2145,Mechanical engineers,4
2146,Chemical engineers,4
2147,"Mining engineers, metallurgists and related professionals",4
2148,Cartographers and surveyors,4
2149,"Architects, engineers and related professionals not elsewhere classified",4
22,Life science and health professionals,2
221,Life science professionals,3
2211,"Biologists, botanists, zoologists and related professionals",4
2212,"Pharmacologists, pathologists and related professionals",4
2213,Agronomists and related professionals,4
222,Health professionals (except nursing),3
2221,Medical doctors,4
2222,Dentists,4
2223,Veterinarians,4
2224,Pharmacists,4
2229,Health professionals (except nursing) not elsewhere classified,4
223,Nursing and midwifery professionals,3
2230,Nursing and midwifery professionals,4
23,Teaching professionals,2
231,"College, university and higher education teaching professionals",3
2310,"College, university and higher education teaching professionals",4
232,Secondary education teaching professionals,3
2320,Secondary education teaching professionals,4
233,Primary and pre-primary education teaching professionals,3
2331,Primary education teaching professionals,4
2332,Pre-primary education teaching professionals,4
234,Special education teaching professionals,3
2340,Special education teaching professionals,4
235,Other teaching professionals,3
2351,Education methods specialists,4
2352,School inspectors,4
2359,Other teaching professionals not elsewhere classified,4
24,Other professionals,2
241,Business professionals,3
2411,Accountants,4
2412,Personnel and careers professionals,4
2419,Business professionals not elsewhere classified,4
242,Legal professionals,3
2421,Lawyers,4
2422,Judges,4
2429,Legal professionals not elsewhere classified,4
243,"Archivists, librarians and related information professionals",3
2431,Archivists and curators,4
2432,Librarians and related information professionals,4
244,Social science and related professionals,3
2441,Economists,4
2442,"Sociologists, anthropologists and related professionals",4
2443,"Philosophers, historians and political scientists",4
2444,"Philologists, translators and interpreters",4
2445,Psychologists,4
2446,Social work professionals,4
245,Writers and creative or performing artists,3
2451,"Authors, journalists and other writers",4
2452,"Sculptors, painters and related artists",4
2453,"Composers, musicians and singers",4
2454,Choreographers and dancers,4
2455,"Film, stage and related actors and directors",4
246,Religious professionals,3
2460,Religious professionals,4
3,Technicians and associate professionals,1
31,Physical and engineering science associate professionals,2
311,Physical and engineering science technicians,3
3111,Chemical and physical science technicians,4
3112,Civil engineering technicians,4
3113,Electrical engineering technicians,4
3114,Electronics and telecommunications engineering technicians,4
3115,Mechanical engineering technicians,4
3116,Chemical engineering technicians,4
3117,Mining and metallurgical technicians,4
3118,Draughtspersons,4
3119,Physical and engineering science technicians not elsewhere classified,4
312,Computer associate professionals,3
3121,Computer assistants,4
3122,Computer equipment operators,4
3123,Industrial robot controllers,4
313,Optical and electronic equipment operators,3
3131,Photographers and image and sound recording equipment operators,4
3132,Broadcasting and telecommunications equipment operators,4
3133,Medical equipment operators,4
3139,Optical and electronic equipment operators not elsewhere classified,4
314,Ship and aircraft controllers and technicians,3
3141,Ships' engineers,4
3142,Ships' deck officers and pilots,4
3143,Aircraft pilots and related associate professionals,4
3144,Air traffic controllers,4
3145,Air traffic safety technicians,4
315,Safety and quality inspectors,3
3151,Building and fire inspectors,4
3152,"Safety, health and quality inspectors",4
32,Life science and health associate professionals,2
321,Life science technicians and related associate professionals,3
3211,Life science technicians,4
3212,Agronomy and forestry technicians,4
3213,Farming and forestry advisers,4
322,Modern health associate professionals (except nursing),3
3221,Medical assistants,4
3222,Sanitarians,4
3223,Dieticians and nutritionists,4
3224,Optometrists and opticians,4
3225,Dental assistants,4
3226,Physiotherapists and related associate professionals,4
3227,Veterinary assistants,4
3228,Pharmaceutical assistants,4
3229,Modern health associate professionals (except nursing) not elsewhere classified,4
323,Nursing and midwifery associate professionals,3
3231,Nursing associate professionals,4
3232,Midwifery associate professionals,4
324,Traditional medicine practitioners and faith healers,3
3241,Traditional medicine practitioners,4
3242,Faith healers,4
33,Teaching associate professionals,2
331,Primary education teaching associate professionals,3
3310,Primary education teaching associate professionals,4
