isco08,isco08_name,digits_level
3143,Forestry Technicians,4
3151,Ships’ Engineers,4
3152,Ships’ Deck Officers and Pilots,4
3153,Aircraft Pilots and Related Associate Professionals,4
3154,Air Traffic Controllers,4
3155,Air Traffic Safety Electronics Technicians,4
3211,Medical Imaging and Therapeutic Equipment Technicians,4
3212,Medical and Pathology Laboratory Technicians,4
3213,Pharmaceutical Technicians and Assistants,4
3214,Medical and Dental Prosthetic Technicians,4
3221,Nursing Associate Professionals,4
3222,Midwifery Associate Professionals,4
3230,Traditional and Complementary Medicine Associate Professionals,4
3240,Veterinary Technicians and Assistants,4
3251,Dental Assistants and Therapists,4
3252,Medical Records and Health Information Technicians,4
3253,Community Health Workers,4
3254,Dispensing Opticians,4
3255,Physiotherapy Technicians and Assistants,4
3256,Medical Assistants,4
3257,Environmental and Occupational Health Inspectors and Associates,4
3258,Ambulance Workers,4
3259,Health Associate Professionals Not Elsewhere Classified,4
3311,Securities and Finance Dealers and Brokers,4
3312,Credit and Loans Officers,4
3313,Accounting Associate Professionals,4
3314,"Statistical, Mathematical and Related Associate Professionals",4
3315,Valuers and Loss Assessors,4
3321,Insurance Representatives,4
3322,Commercial Sales Representatives,4
3323,Buyers,4
3324,Trade Brokers,4
3331,Clearing and Forwarding Agents,4
3332,Conference and Event Planners,4
3333,Employment Agents and Contractors,4
3334,Real Estate Agents and Property Managers,4
3339,Business Services Agents Not Elsewhere Classified,4
3341,Office Supervisors,4
3342,Legal Secretaries,4
3343,Administrative and Executive Secretaries,4
3344,Medical Secretaries,4
3351,Customs and Border Inspectors,4
3352,Government Tax and Excise Officials,4
3353,Government Social Benefits Officials,4
3354,Government Licensing Officials,4
3355,Police Inspectors and Detectives,4
3359,Government Regulatory Associate Professionals Not Elsewhere Classified,4
3411,Legal and Related Associate Professionals,4
3412,Social Work Associate Professionals,4
3413,Religious Associate Professionals,4
3421,Athletes and Sports Players,4
3422,"Sports Coaches, Instructors and Officials",4
3423,Fitness and Recreation Instructors and Programme Leaders,4
3431,Photographers,4
3432,Interior Designers and Decorators,4
3433,"Gallery, Museum and Library Technicians",4
3434,Chefs,4
3435,Other Artistic and Cultural Associate Professionals,4
3511,Information and Communications Technology Operations Technicians,4
3512,Information and Communications Technology User Support Technicians,4
3513,Computer Network and Systems Technicians,4
3514,Web Technicians,4
3521,Broadcasting and Audiovisual Technicians,4
3522,Telecommunications Engineering Technicians,4
4110,General Office Clerks,4
4120,Secretaries (general),4
4131,Typists and Word Processing Operators,4
4132,Data Entry Clerks,4
4211,Bank Tellers and Related Clerks,4
4212,"Bookmakers, Croupiers and Related Gaming Workers",4
4213,Pawnbrokers and Money-lenders,4
4214,Debt Collectors and Related Workers,4
4221,Travel Consultants and Clerks,4
4222,Contact Centre Information Clerks,4
4223,Telephone Switchboard Operators,4
4224,Hotel Receptionists,4
4225,Inquiry Clerks,4
4226,Receptionists (general),4
4227,Survey and Market Research Interviewers,4
4229,Client Information Workers Not Elsewhere Classified,4
4311,Accounting and Bookkeeping Clerks,4
4312,"Statistical, Finance and Insurance Clerks",4
4313,Payroll Clerks,4
4321,Stock Clerks,4
4322,Production Clerks,4
4323,Transport Clerks,4
4411,Library Clerks,4
4412,Mail Carriers and Sorting Clerks,4
4413,"Coding, Proofreading and Related Clerks",4
4414,Scribes and Related Workers,4
4415,Filing and Copying Clerks,4
4416,Personnel Clerks,4
4419,Clerical Support Workers Not Elsewhere Classified,4
5111,Travel Attendants and Travel Stewards,4
5112,Transport Conductors,4
5113,Travel Guides,4
5120,Cooks,4
5131,Waiters,4
5132,Bartenders,4
5141,Hairdressers,4
5142,Beauticians and Related Workers,4
5151,"Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments",4
5152,Domestic Housekeepers,4
5153,Building Caretakers,4
5161,"Astrologers, Fortune-tellers and Related Workers",4
5162,Companions and Valets,4
5163,Undertakers and Embalmers,4
5164,Pet Groomers and Animal Care Workers,4
5165,Driving Instructors,4
5169,Personal Services Workers Not Elsewhere Classified,4
5211,Stall and Market Salespersons,4
5212,Street Food Salespersons,4
5221,Shopkeepers,4
5222,Shop Supervisors,4
5223,Shop Sales Assistants,4
5230,Cashiers and Ticket Clerks,4
5241,Fashion and Other Models,4
5242,Sales Demonstrators,4
5243,Door-to-door Salespersons,4
5244,Contact Centre Salespersons,4
5245,Service Station Attendants,4
5246,Food Service Counter Attendants,4
5249,Sales Workers Not Elsewhere Classified,4
5311,Child Care Workers,4
5312,Teachers’ Aides,4
5321,Health Care Assistants,4
5322,Home-based Personal Care Workers,4
5329,Personal Care Workers in Health Services Not Elsewhere Classified,4
5411,Firefighters,4
5412,Police Officers,4
5413,Prison Guards,4
5414,Security Guards,4
5419,Protective Services Workers Not Elsewhere Classified,4
6111,Field Crop and Vegetable Growers,4
6112,Tree and Shrub Crop Growers,4
6113,Gardeners; Horticultural and Nursery Growers,4
6114,Mixed Crop Growers,4
6121,Livestock and Dairy Producers,4
6122,Poultry Producers,4
6123,Apiarists and Sericulturists,4
6129,Animal Producers Not Elsewhere Classified,4
6130,Mixed Crop and Animal Producers,4
6210,Forestry and Related Workers,4
6221,Aquaculture Workers,4
6222,Inland and Coastal Waters Fishery Workers,4
6223,Deep-sea Fishery Workers,4
6224,Hunters and Trappers,4
6310,Subsistence Crop Farmers,4
6320,Subsistence Livestock Farmers,4
6330,Subsistence Mixed Crop and Livestock Farmers,4
6340,"Subsistence Fishers, Hunters, Trappers and Gatherers",4
7111,House Builders,4
7112,Bricklayers and Related Workers,4
7113,"Stonemasons, Stone Cutters, Splitters and Carvers",4
7114,"Concrete Placers, Concrete Finishers and Related Workers",4
7115,Carpenters and Joiners,4
7119,Building Frame and Related Trades Workers Not Elsewhere Classified,4
7121,Roofers,4
7122,Floor Layers and Tile Setters,4
7123,Plasterers,4
7124,Insulation Workers,4
7125,Glaziers,4
7126,Plumbers and Pipe Fitters,4
7127,Air Conditioning and Refrigeration Mechanics,4
7131,Painters and Related Workers,4
7132,Spray Painters and Varnishers,4
7133,Building Structure Cleaners,4
7211,Metal Moulders and Coremakers,4
7212,Welders and Flame Cutters,4
7213,Sheet Metal Workers,4
7214,Structural Metal Preparers and Erectors,4
7215,Riggers and Cable Splicers,4
7221,"Blacksmiths, Hammersmiths and Forging Press Workers",4
7222,Toolmakers and Related Workers,4
7223,Metal Working Machine Tool Setters and Operators,4
7224,"Metal Polishers, Wheel Grinders and Tool Sharpeners",4
7231,Motor Vehicle Mechanics and Repairers,4
7232,Aircraft Engine Mechanics and Repairers,4
7233,Agricultural and Industrial Machinery Mechanics and Repairers,4
7234,Bicycle and Related Repairers,4
7311,Precision-instrument Makers and Repairers,4
7312,Musical Instrument Makers and Tuners,4
7313,Jewellery and Precious Metal Workers,4
7314,Potters and Related Workers,4
7315,"Glass Makers, Cutters, Grinders and Finishers",4
7316,"Signwriters, Decorative Painters, Engravers and Etchers",4
7317,"Handicraft Workers in Wood, Basketry and Related Materials",4
7318,"Handicraft Workers in Textile, Leather and Related Materials",4
7319,Handicraft Workers Not Elsewhere Classified,4
7321,Pre-press Technicians,4
7322,Printers,4
7323,Print Finishing and Binding Workers,4
7411,Building and Related Electricians,4
7412,Electrical Mechanics and Fitters,4
7413,Electrical Line Installers and Repairers,4
7421,Electronics Mechanics and Servicers,4
7422,Information and Communications Technology Installers and Servicers,4
7511,"Butchers, Fishmongers and Related Food Preparers",4
7512,"Bakers, Pastry-cooks and Confectionery Makers",4
7513,Dairy Products Makers,4
7514,"Fruit, Vegetable and Related Preservers",4
7515,Food and Beverage Tasters and Graders,4
7516,Tobacco Preparers and Tobacco Products Makers,4
7521,Wood Treaters,4
7522,Cabinet-makers and Related Workers,4
7523,Woodworking Machine Tool Setters and Operators,4
7531,"Tailors, Dressmakers, Furriers and Hatters",4
7532,Garment and Related Patternmakers and Cutters,4
7533,"Sewing, Embroidery and Related Workers",4
7534,Upholsterers and Related Workers,4
7535,"Pelt Dressers, Tanners and Fellmongers",4
7536,Shoemakers and Related Workers,4
7541,Underwater Divers,4
7542,Shotfirers and Blasters,4
7543,Product Graders and Testers (excluding Foods and Beverages),4
7544,Fumigators and Other Pest and Weed Controllers,4
7549,Craft and Related Workers Not Elsewhere Classified,4
8111,Miners and Quarriers,4
8112,Mineral and Stone Processing Plant Operators,4
8113,Well Drillers and Borers and Related Workers,4
8114,"Cement, Stone and Other Mineral Products Machine Operators",4
8121,Metal Processing Plant Operators,4
8122,"Metal Finishing, Plating and Coating Machine Operators",4
8131,Chemical Products Plant and Machine Operators,4
8132,Photographic Products Machine Operators,4
8141,Rubber Products Machine Operators,4
8142,Plastic Products Machine Operators,4
8143,Paper Products Machine Operators,4
8151,"Fibre Preparing, Spinning and Winding Machine Operators",4
8152,Weaving and Knitting Machine Operators,4
8153,Sewing Machine Operators,4
8154,"Bleaching, Dyeing and Fabric Cleaning Machine Operators",4
8155,Fur and Leather Preparing Machine Operators,4
8156,Shoemaking and Related Machine Operators,4
8157,Laundry Machine Operators,4
8159,"Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified",4
8160,Food and Related Products Machine Operators,4
8171,Pulp and Papermaking Plant Operators,4
8172,Wood Processing Plant Operators,4
8181,Glass and Ceramics Plant Operators,4
8182,Steam Engine and Boiler Operators,4
8183,"Packing, Bottling and Labelling Machine Operators",4
8189,Stationary Plant and Machine Operators Not Elsewhere Classified,4
8211,Mechanical Machinery Assemblers,4
8212,Electrical and Electronic Equipment Assemblers,4
8219,Assemblers Not Elsewhere Classified,4
8311,Locomotive Engine Drivers,4
8312,"Railway Brake, Signal and Switch Operators",4
8321,Motorcycle Drivers,4
8322,"Car, Taxi and Van Drivers",4
8331,Bus and Tram Drivers,4
8332,Heavy Truck and Lorry Drivers,4
8341,Mobile Farm and Forestry Plant Operators,4
8342,Earthmoving and Related Plant Operators,4
8343,"Crane, Hoist and Related Plant Operators",4
8344,Lifting Truck Operators,4
8350,Ships’ Deck Crews and Related Workers,4
9111,Domestic Cleaners and Helpers,4
9112,"Cleaners and Helpers in Offices, Hotels and Other Establishments",4
9121,Hand Launderers and Pressers,4
9122,Vehicle Cleaners,4
9123,Window Cleaners,4
9129,Other Cleaning Workers,4
9211,Crop Farm Labourers,4
9212,Livestock Farm Labourers,4
9213,Mixed Crop and Livestock Farm Labourers,4
9214,Garden and Horticultural Labourers,4
9215,Forestry Labourers,4
9216,Fishery and Aquaculture Labourers,4
9311,Mining and Quarrying Labourers,4
9312,Civil Engineering Labourers,4
9313,Building Construction Labourers,4
9321,Hand Packers,4
9329,Manufacturing Labourers Not Elsewhere Classified,4
9331,Hand and Pedal Vehicle Drivers,4
9332,Drivers of Animal-drawn Vehicles and Machinery,4
9333,Freight Handlers,4
9334,Shelf Fillers,4
9411,Fast Food Preparers,4
9412,Kitchen Helpers,4
9510,Street and Related Services Workers,4
9520,Street Vendors (excluding Food),4
9611,Garbage and Recycling Collectors,4
9612,Refuse Sorters,4
9613,Sweepers and Related Labourers,4
9621,"Messengers, Package Deliverers and Luggage Porters",4
9622,Odd-job Persons,4
9623,Meter Readers and Vending-machine Collectors,4
9624,Water and Firewood Collectors,4
9629,Elementary Workers Not Elsewhere Classified,4
0110,Commissioned Armed Forces Officers,4
0210,Non-commissioned Armed Forces Officers,4
0310,"Armed Forces Occupations, Other Ranks",4
